gai	gai,gãi,gài,gại,gái
dum-tum	đùm túm
nho-nhung	nhớ nhung
ngo-nhan	ngộ nhận
tia-to	tía tô
nhu-quyen	nhu quyền
vi-ne	vì nể,vị nể
phu-bac	phụ bạc
toe-khoi	tóe khói
ton-dong	tồn đọng
hai-chien	hải chiến
gia-cong	gia công
hau-bi	hậu bị
li-hon	li hôn
yeu-duoi	yếu đuối
trang-trai	trang trại,trang trải
trach-cu	trách cứ
vinh-hang	vĩnh hằng
dong-lanh	đông lạnh
don-nhat	đơn nhất
doi-truong	đội trưởng
ran-roi	rắn rỏi
lon-len	lỏn lẻn
duy-thuc	duy thực
vao-cuoc	vào cuộc
khai-but	khai bút
bi-chu	bị chú
quan-vot	quần vợt
ngat-ngay	ngất ngây
tang-chung	tang chứng
ki-vi	kì vĩ
chen-lan	chen lấn
huyet-thong	huyết thống
tuyet-thuc	tuyệt thực
mo-mieng	mở miệng
xa-cach	xa cách
an-trom	ăn trộm
sum-vay	sum vầy
dang-sa	đàng sá
kiem-dinh	kiểm định
vong-mac	võng mạc
vach-mat	vạch mặt
xi-xam	xì xầm
nguyen-ven	nguyên vẹn
vo-ke	vô kể,vợ kế
roi-bu	rối bù
ban-la	bàn là
nha-nuoc	nhà nước
rap-ranh	rắp ranh
bang-co	bằng cớ
gay-can	gay cấn
huy-dong	huy động
don-ong	đòn ống
dan-sen	đàn sến
bang-ca	băng ca
ban-bac	bàn bạc
bau-chon	bầu chọn
tho-cam	thổ cẩm
cap-tap	cấp tập
bang-cu	bằng cứ
ban-bat	bần bật,bằn bặt
lom-dom	lốm đốm
tieu-tiet	tiểu tiết
muot-mat	mướt mát
can-xung	cân xứng
tuenh-toang	tuềnh toàng
bo-cuc	bố cục
sang-quac	sáng quắc
tim-rim	tím rịm
xich-dao	xích đạo
bo-cui	bổ củi
got-deo	gọt đẽo
linh-tinh	linh tinh,linh tính
hoang-lien	hoàng liên
la-mieng	lạ miệng
bao-mong	báo mộng
song-sanh	sóng sánh
huyen-ao	huyền ảo
lap-rap	lắp ráp
quoc-noi	quốc nội
bien-giai	biện giải
thuc-chat	thực chất
danh-khoi	đánh khơi
loat-soat	loạt soạt
deu-gia	đểu giả
that-ra	thật ra
let-set	lệt sệt
dan-dao	đạn đạo
tri-vi	trị vì
uy-mi	ủy mị
tu-truong	từ trường
oc-dau	óc đậu
den-dui	đen đủi
ve-chuyen	vẽ chuyện
bi-kip	bí kíp
sau-bo	sâu bọ
ha-sat	hạ sát
mai-phuc	mai phục
sot-lanh	sốt lạnh
hoi-hoa	hội họa
chuyen-khao	chuyên khảo
sa-da	sa đà
co-dien	cơ điện,cổ điển
me-dam	mê đắm
hoc-doi	học đòi
keo-ket	kẽo kẹt
lanh-dao	lãnh đạo
lanh-dam	lãnh đạm
dao-oi	dào ôi
loanh-quanh	loanh quanh
tu-nghiep	tu nghiệp
co-le	có lẽ,cờ lê
tinh-toa	tĩnh tọa
co-che	cơ chế
co-chi	cơ chỉ,cố chí
diu-riu	đìu ríu
thuong-cang	thương cảng
tu-biet	từ biệt
dao-dip	dao díp
dui-dui	dúi dụi
thoi-nat	thối nát
hong-tam	hồng tâm
lat-nhat	lắt nhắt
hoc-van	học vấn
dui-duc	dùi đục
bach-khoa	bách khoa
tit-mit	tịt mít
noi-quy	nội quy
nang-tinh	nặng tình
da-nghi	đa nghi
bat-via	bạt vía
te-chinh	tề chỉnh
du-tru	dự trù,dự trữ
tu-choi	từ chối
dan-lap	dân lập
da-nang	đa năng,Đà Nẵng
reo-rat	réo rắt
hut-hang	hụt hẫng
noi-qui	nội qui
cay-canh	cây cảnh
tai-lieu	tài liệu
lich-kich	lích kích,lịch kịch
tan-thanh	tán thành
te-giac	tê giác
thoi-chien	thời chiến
vinh-hanh	vinh hạnh
phu-troi	phụ trội
can-trong	cẩn trọng
pha-dam	phá đám
gio-giac	giờ giấc
tu-so	tử số
bieng-nhac	biếng nhác
thoi-tuc	thói tục
hoi-hop	hồi hộp,hội họp
ti-chut	tí chút
tho-au	thơ ấu
the-ra	thế ra
than-mat	thân mật
cuong-hiep	cưỡng hiếp
cung-duong	cùng đường
trang-nga	trắng ngà
thao-go	tháo gỡ
que-quat	què quặt
trong-truong	trọng trường
net-na	nết na
thanh-phan	thành phần
trai-khoay	trái khoáy
tuong-hinh	tượng hình
tho-am	thổ âm
dao-no	đáo nợ,đảo nợ
kieng-ky	kiêng kỵ
tin-buon	tin buồn
nhun-minh	nhún mình
lech-thech	lếch thếch
boi-dap	bồi đắp
sung-hup	sưng húp
kieng-ki	kiêng kị
giun-dua	giun đũa
ky-han	kỳ hạn
nhun-nhan	nhũn nhặn
phi-thuong	phi thường
dien-giang	diễn giảng
vien-chinh	viễn chinh
giay-phep	giấy phép
com-gao	cơm gạo
dang-hoang	đàng hoàng
khoan-dung	khoan dung
la-liem	la liếm
thao-doi	thạo đời
lon-ruot	lộn ruột
van-dong	vận động
vui-nhon	vui nhộn
la-liet	la liệt
do-ki	đố kị
phao-cau	phao câu
ra-hieu	ra hiệu
nghi-thuc	nghi thức
tri-nang	trí năng
buon-xo	buồn xo
bo-nhiem	bổ nhiệm
phan-than	phân thân
ngung-tre	ngưng trệ,ngừng trệ
my-quan	mỹ quan
noi-nong	nổi nóng
giam-ma	giám mã
lua-nuong	lúa nương
sau-han	sầu hận
sanh-dieu	sành điệu
vay-goi	vẫy gọi
hoi-do	hỏi dò
khuc-khich	khúc khích
quau-quau	quàu quạu
loi-thoat	lối thoát
khoi-diem	khởi điểm
nghe-thuat	nghệ thuật
dong-vat	động vật
khu-tru	khu trú
hoi-doan	hội đoàn
hoi-doai	hối đoái
hao-hen	hào hển
quoc-ki	quốc kì
ca-tang	cà tàng
bieu-hien	biểu hiện
dac-hu	đặc hữu
nhiet-thanh	nhiệt thành
don-lap	đơn lập
gan-ket	gắn kết
ca-ve	ca ve
mien-nghi	miễn nghị
duong-kim	đương kim
vu-vu	vu vu
vi-sao	vì sao
phu-kien	phụ kiện
tum-lum	tùm lum
kinh-thanh	kinh thánh,kinh thành
tam-cu	tạm cư
ngat-mui	ngạt mũi
nung-nau	nung nấu
xuong-song	xương sông,xương sống
moi-cung	mới cứng
de-bung	để bụng
phoi-bao	phôi bào
ma-quai	ma quái
gioi-han	giới hạn
giun-dot	giun đốt
hai-ha	hải hà
thien-loi	thiên lôi
chay-mau	chảy máu
danh-do	đánh đố,đánh đổ
oan-than	oán thán
man-tra	man trá
lien-doan	liên đoàn
linh-dinh	linh đình
nao-thai	nạo thai
sieu-dang	siêu đẳng
long-nao	long não
deo-bong	đèo bòng
van-duc	vẩn đục
giang-ha	giáng hạ
thoat-tuc	thoát tục
cao-gio	cạo gió
cao-gia	cao giá,cáo già
truy-lung	truy lùng
phan-hang	phân hạng
tray-trat	trầy trật
moc-meo	mốc meo
hien-trang	hiện trạng
bao-boi	bảo bối
ac-quy	ắc quy
khi-sac	khí sắc
tham-thau	thẩm thấu
ngu-ngay	ngủ ngáy
giao-cau	giao cấu
giao-cat	giao cắt
gio-que	giở quẻ
hoa-lan	hoa lan
bao-boc	bao bọc
tham-tham	thăm thẳm
kinh-lac	kinh lạc
giao-cam	giao cảm
ben-bai	bến bãi
trung-uong	trung ương
bach-thoai	bạch thoại
em-xuoi	êm xuôi
chinh-ta	chính tả
bao-bot	bào bọt
khoi-kien	khởi kiện
dac-nhiem	đặc nhiệm
chinh-te	chỉnh tề
kinh-lao	kính lão
thanh-hien	thánh hiền
thua-vang	thưa vắng
lung-von	lưng vốn
nhap-hoc	nhập học
gioi-giang	giỏi giang
kinh-ky	kinh kỳ
kham-phuc	khâm phục
loang-choang	loạng choạng
thieu-tuong	thiếu tướng
da-chien	dã chiến
vung-da	vững dạ
moc-gioi	mốc giới
kinh-ke	kinh kệ
tam-ung	tạm ứng
da-chieu	đa chiều
pha-phach	phá phách
hong-hoang	hồng hoang
vong-vong	vòng vòng
ung-cu	ứng cứu
ong-kinh	ống kính
thuyen-rong	thuyền rồng
bat-kinh	bất kính
beu-nang	bêu nắng
gieo-van	gieo vần
thinh-linh	thình lình
vo-danh	vô danh
cham-phay	chấm phảy,chấm phẩy
dia-danh	địa danh
tinh-tang	tình tang
tham-thu	thâm thù,thăm thú
khuon-kho	khuôn khổ
dong-que	đồng quê
trac-tro	trắc trở
giong-het	giống hệt
voi-rong	vòi rồng
ki-sinh	kí sinh
cai-cach	cải cách
phoi-bay	phơi bày
rom-say	rôm sảy
va-vat	vạ vật
chieu-an	chiêu an
thong-su	thông sử
vu-dao	vũ đạo
moc-xich	móc xích
vang-ve	vắng vẻ
khoa-bang	khoa bảng
vo-tu	vô tư
ra-gi	ra gì
lam-quyen	lạm quyền
thoi-khac	thời khắc
bai-tinh	bài tính
du-bao	dự báo
ep-gia	ép giá
soi-dong	sôi động
du-ton	dữ tợn
da-xoa	dạ xoa
lat-nguoc	lật ngược
kien-gan	kiên gan
em-dep	êm đẹp
tron-nhay	trơn nhẫy
lu-ly	lưu ly
ngua-chien	ngựa chiến
ro-mom	rọ mõm
du-khao	du khảo
du-khan	dự khán
dau-truong	đấu trường
moc-don	móc đơn
am-moc	ẩm mốc
tai-can	tài cán
tru-treo	tru tréo
lo-bich	lố bịch
chi-choe	chí chóe
oai-ve	oai vệ
lu-li	lưu li
man-hau	mận hậu
uoc-tinh	ước tính
tam-ngam	tâm ngẩm
ki-luong	kĩ lưỡng
tam-voc	tầm vóc
non-choet	non choẹt
vot-vat	vớt vát
doc-thu	độc thủ
kich-hat	kịch hát
chet-me	chết mê
xuoi-chieu	xuôi chiều
nhang-cuoi	nhăng cuội
vi-nam	vi nấm
nhuc-cam	nhục cảm
khinh-bac	khinh bạc
ra-tay	ra tay
dai-so	đại số
sao-mai	sao mai
so-la	số là
muc-nat	mục nát
tan-tat	tàn tật
cung-co	củng cố,cứng cổ
dong-day	động đậy
vat-nai	vật nài
lam-guong	làm gương
thinh-tinh	thịnh tình
hop-chat	hợp chất
tan-tao	tần tảo
phuc-hau	phúc hậu
phuong-huong	phương hướng
tat-thang	tất thắng
bien-thai	biến thái
ong-tiem	ống tiêm
kinh-dien	kinh điển
duong-lao	dưỡng lão
gio-tet	giỗ tết
ong-manh	ông mãnh
hieu-chu	hiếu chủ
thuy-than	thủy thần,thuỷ thần
minh-man	minh mẫn
phang-li	phẳng lì
tien-nu	tiên nữ
tin-nghia	tín nghĩa
giam-toc	giảm tốc
cuc-tri	cực trị
giai-khat	giải khát
tieu-tien	tiểu tiện
cun-cut	cun cút
lu-chieu	lưu chiểu
bu-phi	bưu phí
gau-trang	gấu trắng
lem-linh	lém lỉnh
thuong-thang	thượng thặng
bep-nuoc	bếp nước
truc-nhat	trực nhật
hanh-chuc	hành chức
thinh-cau	thỉnh cầu
hoan-nguyen	hoàn nguyên
tuy-hung	tùy hứng
tiem-kich	tiêm kích
co-nhien	cố nhiên
nhuc-nhoi	nhức nhối
de-can	đề can
lo-buon	lo buồn
cong-thu	công thủ,công thự
bien-dang	biến dạng
quan-dich	quân dịch
tanh-tuoi	tanh tưởi
cung-luoi	cứng lưỡi
cong-tho	công thổ
chi-bo	chi bộ
long-quyen	lộng quyền
phut-giay	phút giây
uon-eo	uốn éo,ưỡn ẹo
dai-phau	đại phẫu
toa-xe	toa xe
may-chieu	máy chiếu
rong-khong	rỗng không
nhiet-tinh	nhiệt tình
chua-loet	chua loét
quy-gia	quý giá
hong-ngoai	hồng ngoại
tram-nam	trăm năm
cat-lop	cắt lớp
suc-ngua	sức ngựa
phuc-vu	phục vụ
thoi-son	thôi sơn
cu-tro	cứu trợ
trang-bong	trắng bong
dut-gay	đứt gãy
dai-cuoc	đại cuộc
khu-trung	khử trùng
tran-lot	trấn lột
lap-cap	lập cập
hoa-li	hoa lí,hóa lí
hoa-lo	hoa lơ,hỏa lò
tuong-vi	tường vi
da-giac	đa giác
sac-do	sắc độ
cam-van	cấm vận
danh-trao	đánh tráo
cao-ngao	cao ngạo
hoa-le	hoa lệ
binh-tram	binh trạm
hoa-ly	hoa lý,hóa lý
mat-xich	mắt xích
dang-thuc	dạng thức,đẳng thức
ty-so	tỷ số
cao-ngat	cao ngất
to-chat	tố chất
quan-gioi	quân giới
mang-mo	mạng mỡ,mắng mỏ
to-tat	to tát
chua-te	chúa tể
nghia-quan	nghĩa quân
dau-day	đâu đây,đâu đấy
cay-cuoc	cày cuốc
tro-troi	trơ trọi,trở trời
doan-ket	đoàn kết
hau-mon	hậu môn
xuong-mau	xương máu
phat-long	phật lòng
tu-cam	tự cảm
giao-uoc	giao ước
com-chao	cơm cháo
khon-kheo	khôn khéo
lung-doan	lũng đoạn
heo-heo	heo heo,heo héo
hoan-lac	hoan lạc
tu-cao	tự cao
cao-do	cao độ
mang-luoi	màng lưới,mạng lưới
can-coi	cằn cỗi
tuc-tuoi	tức tưởi
ban-tan	bàn tán
che-bien	chế biến
nha-thuoc	nhà thuốc
dut-doan	đứt đoạn
oc-ach	óc ách,ọc ạch
rung-mo	rửng mỡ
long-mach	long mạch
moc-ban	mộc bản
trui-ren	trui rèn
eo-seo	eo sèo
thua-thot	thưa thớt
tro-tro	trô trố,trơ trơ
nha-bep	nhà bếp
bia-mieng	bia miệng
ban-nguyet	bán nguyệt
ong-oc	òng ọc,ồng ộc
chung-thuy	chung thủy
phong-han	phong hàn
chay-rua	chảy rữa
thuan-tinh	thuần tính,thuận tình
san-sat	san sát,săn sắt,sần sật
len-an	lên án
chung-thuc	chứng thực
toan-luc	toàn lực
thap-phan	thập phân
phuong-hoang	phượng hoàng
kiem-toan	kiểm toán
noi-duoi	nối đuôi
linh-thieng	linh thiêng
su-gia	sứ giả,sử gia
ran-chac	rắn chắc
cuc-mich	cục mịch
vien-thi	viễn thị
ung-xu	ứng xử
huyen-uy	huyện ủy
voi-bot	vôi bột
tro-khac	trơ khấc
co-tich	cổ tích
cai-quan	cai quản
dan-chu	dân chủ
bo-buoc	bó buộc
thuyen-truong	thuyền trưởng
nhan-giong	nhân giống
nghiem-ngat	nghiêm ngặt
mia-lau	mía lau
phon-pho	phớn phở,phởn phơ
vung-manh	vững mạnh
chuong-ngai	chướng ngại
noi-nhat	nội nhật
thong-thao	thông thạo
quan-tich	quân tịch
thieu-phu	thiếu phụ
nghiem-tuc	nghiêm túc
vo-nguc	vỗ ngực
nhen-nhum	nhen nhúm
te-tai	te tái,tê tái
an-va	ăn vã,ăn vạ
hau-mai	hậu mãi
van-lon	van lơn
lang-ben	lang ben
gap-boi	gấp bội
cong-trinh	công trình
con-do	côn đồ
den-gion	đen giòn
hop-tau	hợp tấu
hoi-giang	hội giảng
vung-tam	vững tâm
uy-my	ủy mỵ
con-de	con đẻ
tran-duyen	trần duyên
goi-chuyen	gợi chuyện
hop-tac	hợp tác
thien-vi	thiên vị
vung-tau	Vũng Tàu
dich-dang	đích đáng
ti-phu	tỉ phú
ong-nhom	ống nhòm
to-vo	tò vò,tơ vò
hop-tan	hợp tan
tat-ca	tất cả
man-anh	màn ảnh
co-mu	cô mụ
nganh-ngon	ngành ngọn
quoc-tich	quốc tịch
kho-long	khó lòng
tho-kech	thô kệch
tan-trang	tân trang
thuong-nien	thường niên
dau-ra	đầu ra
thuyet-trinh	thuyết trình
hien-ke	hiến kế
duc-do	đức độ
co-ma	cơ mà
mong-gio	móng giò
noi-phet	nói phét
sung-ngan	súng ngắn
thanh-lap	thành lập
lo-au	lo âu
uyen-uong	uyên ương
mu-co	mưu cơ
bo-go	bộ gõ
xep-xo	xếp xó
de-trinh	đệ trình
thieu-nao	thiểu não
quay-qua	quày quả,quấy quá,quấy quả,quầy quả
san-dien	sàn diễn
ban-hu	bạn hữu
cau-gian	cáu giận
dieu-toa	điêu toa
bac-si	bác sĩ
dieu-toc	điều tốc
man-nhiem	mãn nhiệm
xu-thoi	xu thời
chong-cheo	chồng chéo
thien-chien	thiện chiến
chac-an	chắc ăn
tuong-bao	tường bao
thuy-chung	thủy chung
da-cuoi	đá cuội
loan-ly	loạn ly
ton-ton	ton ton
bong-bong	boong boong
mat-doi	mạt đời
quyen-gop	quyên góp
sa-thai	sa thải
ki-tu	kí tự
lan-luot	lấn lướt,lần lượt
quyet-chien	quyết chiến
dom-dang	đỏm dáng
phat-hien	phát hiện
phao-bong	pháo bông
xap-xi	xấp xỉ
do-oi	đỏ ối
do-hoa	đồ họa
cung-quan	cùng quẫn
tui-mat	túi mật
cung-quai	cúng quải
thua-ke	thừa kế
thanh-pho	thành phố
dan-da	dần dà,đàn đá
loay-hoay	loay hoay
quang-pho	quang phổ
rong-ran	rồng rắn
dan-do	dẫn độ,dặn dò,đẫn đờ,đắn đo
dan-di	dạn dĩ
cong-chuyen	công chuyện
mia-mai	mỉa mai
on-luyen	ôn luyện
hien-tai	hiền tài,hiện tại
ren-xiet	rên xiết
ngo-ngoay	ngó ngoáy,ngọ ngoạy
bien-dao	biên đạo
can-man	cần mẫn
te-ngat	tẻ ngắt
dem-dep	đèm đẹp
can-mat	cẩn mật
phan-boi	phản bội
truc-tam	trực tâm
thau-khoan	thầu khoán
vi-chung	vị chủng
doc-hai	độc hại
ky-tinh	kỳ tình,kỹ tính
no-le	nô lệ
run-rui	run rủi
tien-trinh	tiến trình
chan-chat	chan chát,chân chất
chan-chau	chân chấu
dom-dom	đom đóm
vo-gia	vô giá
tuyet-noc	tuyệt nọc
phun-thach	phún thạch
henh-hech	hênh hếch,hềnh hệch
tinh-ca	tình ca
ngoi-nghi	ngơi nghỉ
tri-tre	trì trệ
lun-phun	lún phún
phan-tuoi	phân tươi
xa-ich	xà ích
ban-giao	bàn giao
quo-trach	quở trách
an-tam	an tâm
chan-chan	chằn chặn
dom-dop	đôm đốp,đồm độp
phan-bon	phân bón
gio-mua	gió mùa
vai-thieu	vải thiều
co-quap	co quắp
lam-lung	làm lụng
noi-xam	nói xàm,nội xâm
nhoay-nhoay	nhoay nhoáy
hoi-thuc	hối thúc
gang-suc	gắng sức
ghe-tua	ghế tựa
am-vang	âm vang
truy-dieu	truy điệu
chi-tieu	chi tiêu,chỉ tiêu
chi-tiet	chi tiết
cuong-no	cuồng nộ
lang-xe	lăng xê
dong-bach	đồng bạch
co-quai	cổ quái
nang-luong	năng lượng
co-quan	cơ quan
kieu-ky	kiêu kỳ
ngai-ngung	ngại ngùng
ngheu-nghen	nghễu nghện
xam-ngat	xám ngắt
dung-si	dũng sĩ
hy-sinh	hy sinh
kieu-ki	kiêu kì
pham-luat	phạm luật
tu-diem	tụ điểm
lam-lui	lầm lũi,lầm lụi
thuong-cam	thương cảm
su-de	sư đệ
hien-tuong	hiện tượng
do-van	đo ván
cam-gan	căm gan
hoi-nghi	hội nghị
lu-dong	lưu động
cung-cung	cưng cứng
say-xin	say xỉn
but-chien	bút chiến
van-mang	vận mạng
bac-nam	bắc nam
dang-voc	dáng vóc
ty-thi	tỷ thí
ngu-gat	ngủ gật
dong-tam	đồng tâm
vat-so	vắt sổ
hung-hau	hùng hậu
dua-mat	đưa mắt
kinh-nguyet	kinh nguyệt
tao-quan	táo quân
luc-si	lực sĩ
to-ve	tô vẽ,tỏ vẻ
chung-cha	chung chạ
tan-tay	tận tay
nguyen-dan	nguyên đán
cau-mong	cầu mong
nguyen-dai	nguyên đại
chung-chi	chứng chỉ
quy-phuc	quy phục
tan-phe	tàn phế
that-truyen	thất truyền
san-vat	sản vật
truc-chien	trực chiến
nga-nghieng	ngả nghiêng
tuy-thuoc	tùy thuộc
tau-ngam	tàu ngầm
xa-tit	xa tít
mat-suc	mất sức
lo-ren	lò rèn
bien-dich	biên dịch,biến dịch
bang-tai	băng tải
cap-tinh	cấp tính
heo-may	heo may
gach-chi	gạch chỉ
van-nghe	văn nghệ
don-tu	dồn tụ,đơn từ,đơn tử
cuong-kich	cường kích
dai-tho	đài thọ,đại thọ
san-bay	sân bay
phap-pheu	phập phều
trong-dong	trống đồng
quay-phim	quay phim
ban-rao	bán rao
suc-sinh	súc sinh
lanh-ngat	lạnh ngắt
hieu-ung	hiệu ứng
tien-su	tiên sư,tiền sử,tiền sự
tung-thieu	túng thiếu
cam-dau	cầm đầu,cắm đầu
cay-hai	cấy hái
san-ban	săn bắn
khau-duoi	khấu đuôi
trom-trem	tròm trèm
hop-lu	hợp lưu
trinh-bach	trinh bạch
ky-tuc	ký túc
cong-luan	công luận
nhan-dinh	nhận định
quy-than	quỷ thần
suy-yeu	suy yếu
thu-pham	thủ phạm,thứ phẩm
hop-luc	hợp lực
thu-phan	thu phân,thụ phấn,thủ phận
tu-hu	tư hữu
xa-tap	xa tắp
ma-tau	mã tấu
vui-thich	vui thích
ton-vinh	tôn vinh
che-tai	chế tài
hien-thuc	hiền thục,hiện thực
chup-mu	chụp mũ
nhan-nhuong	nhân nhượng
xet-net	xét nét
tho-cu	thổ cư
mat-danh	mật danh
thuyen-vien	thuyền viên
chet-dung	chết đứng
chuyen-tri	chuyên trị
le-nghi	lễ nghi
ue-oai	uể oải
dao-nghia	đạo nghĩa
dan-ap	đàn áp
trung-thanh	trung thành
tho-ca	thơ ca,thợ cả
khac-thuong	khác thường
ma-co	ma cô
sieu-am	siêu âm
xoi-loi	xởi lởi
phu-ban	phụ bản
coi-xay	cối xay
cuon-hut	cuốn hút
thu-ghet	thù ghét
cong-trai	công trái
phu-gia	phụ gia
linh-chien	lính chiến
da-mang	đa mang
doan-vien	đoàn viên
phi-nghia	phi nghĩa
dich-danh	đích danh
tu-gia	từ giã
cuop-giat	cướp giật
liu-lo	líu lo,líu lô
giai-quyet	giải quyết
vua-moi	vừa mới
pho-bay	phô bày,phô bầy
gia-von	giá vốn
vua-mom	vừa mồm
truong-ki	trường kì,trường kỉ
toa-dam	tọa đàm
tuc-khac	tức khắc
may-tay	máy tay
con-nghien	con nghiện
tru-chan	trú chân
trai-lo	trai lơ
xe-xe	xè xè,xề xệ
dau-dang	đầu đảng
sup-lo	súp lơ
thoi-quen	thói quen
manh-mai	mảnh mai
xen-ke	xen kẽ
may-bom	máy bơm
nhieu-nhan	nhiều nhặn
thang-thien	thăng thiên
quan-doan	quân đoàn
bien-phong	biên phòng
sot-soat	sột soạt
huong-sen	hương sen
so-chia	số chia
ba-chua	bà chúa
kem-coi	kém cỏi
ca-tu	ca từ
gom-guoc	gớm guốc
chung-sinh	chúng sinh,chủng sinh
mong-quanh	mông quạnh
kiem-chuyen	kiếm chuyện
dung-hoa	dung hòa
do-bung	đỏ bừng
tu-nan	tử nạn
sut-can	sút cân
duoc-pham	dược phẩm
tru-an	trú ẩn
luat-hoc	luật học
thach-lu	thạch lựu
son-mon	sơn môn
nghiem-cam	nghiêm cấm
tau-hu	tàu hũ
bau-cua	bậu cửa
bo-dieu	bộ điệu
hiem-nghi	hiềm nghi
bo-binh	bộ binh
long-kinh	lồng kính
trung-tam	trung tâm
thu-hoa	thư họa,thủ hòa
vo-cung	vô cùng
ngao-nghe	ngạo nghễ
dong-qui	đồng qui
kiem-thu	kiểm thử
vu-trang	vũ trang
ton-thuong	tổn thương
truong-ky	trường kỳ,trường kỷ
khuc-xa	khúc xạ
muong-tuong	mường tưởng,mường tượng
bat-chuoc	bắt chước
mon-hoc	môn học
hai-yen	hải yến
hop-den	hộp đen
mong-cho	mong chờ
hop-dem	hộp đêm
tham-thia	thấm thía
hai-duong	Hải Dương,hải đường
uon-deo	uốn dẻo
tu-ngon	tứ ngôn
xa-phong	xà phòng
diep-ngu	điệp ngữ
hau-van	hậu vận
cho-phep	cho phép
cau-tha	cẩu thả
hieu-thao	hiếu thảo
cau-tho	câu thơ
vo-trang	võ trang
tu-thu	tư thù,tứ thư,tử thù,tự thú
cau-thu	cầu thủ
xuc-tac	xúc tác
lu-thuy	lưu thủy
mo-duong	mở đường
trung-thau	trúng thầu,trưng thầu
lat-tay	lật tẩy
me-sang	mê sảng
so-tuyen	sơ tuyển
thoi-loi	thòi lòi
hanh-hoa	hành hoa
thu-cong	thủ công
buoc-song	bước sóng
chut-dinh	chút đỉnh
tot-tinh	tốt tính
ba-le	ba lê
xung-xeng	xủng xẻng
du-thua	dư thừa
han-muc	hạn mức
van-lay	van lạy
buc-doc	bực dọc
sang-tac	sáng tác
mat-net	mất nết
tru-ngu	trú ngụ
vo-chong	vợ chồng
ac-doc	ác độc
tai-ban	tài bàn,tái bản
to-bo	tổ bố
xao-tra	xảo trá
quy-chuan	quy chuẩn
xam-ngoet	xám ngoét
truoc-ba	trước bạ
lam-thu	lạm thu
giai-tan	giải tán
man-moi	mặn mòi
leng-xeng	lẻng xẻng
thao-lao	thao láo,thảo lảo
gac-xep	gác xép
ong-nghiem	ống nghiệm
canh-gioi	cảnh giới
cuc-ta	cực tả
che-tao	chế tạo
kha-dung	khả dụng
tap-duot	tập dượt
tua-ho	tựa hồ
giap-vu	giáp vụ
nai-lung	nai lưng
luyen-tap	luyện tập
hao-hung	hào hùng,hào hứng
hoa-kiep	hóa kiếp
my-thuat	mỹ thuật
luong-tam	lương tâm
lot-ta	lột tả
ngay-dai	ngây dại
trong-thuong	trọng thương,trọng thưởng
hung-ho	hùng hổ,hững hờ
khoang-cach	khoảng cách
qui-phi	quí phi
li-tinh	lí tính
vung-dem	vùng đệm
hut-hon	hút hồn
ngoai-cam	ngoại cảm
roi-loan	rối loạn
nghiem-thu	nghiệm thu
ket-cuc	kết cục
lao-nong	lão nông
ton-trong	tôn trọng
sanh-su	sành sứ
hu-hao	hư hao
rinh-rap	rình rập
ken-ket	ken két,kèn kẹt
tien-tui	tiền túi
hu-hai	hư hại
tham-chien	tham chiến
the-nang	thế năng
lu-du	lù đù,lừ đừ
quy-danh	quý danh
tham-chieu	tham chiếu
dau-phieu	đầu phiếu
tinh-the	tinh thể,tình thế
ken-ken	kên kên,kền kền
trac-thu	trắc thủ
thang-do	thang độ
cat-cong	cất công
khoe-me	khoe mẽ
nhon-nhip	nhộn nhịp
hoang-than	hoàng thân
san-so	sấn sổ
ki-han	kì hạn
ro-rang	rõ ràng,rỡ ràng
san-se	san sẻ
ren-ram	rên rẩm
bun-xin	bủn xỉn
binh-cau	bình cầu
xo-la	xỏ lá
chai-san	chai sạn
the-ma	thế mà
hoang-that	hoàng thất
tam-tinh	tâm tình,tâm tính
dau-hac	dầu hắc
bat-nghia	bất nghĩa
ron-ren	rón rén
hon-quan	hỗn quân
qui-che	qui chế
danh-suot	đánh suốt
xuenh-xoang	xuềnh xoàng
bi-thu	bì thư,bí thư
den-long	đèn lồng
bi-tho	bí thơ
lui-lui	lui lủi,lùi lũi
nhac-truong	nhạc trưởng
nhiep-anh	nhiếp ảnh
se-sang	sẽ sàng
mat-long	mát lòng,mất lòng
su-viec	sự việc
qua-thuc	quả thực
gian-giua	giàn giụa
sa-chan	sa chân
dai-dien	đại diện
nhot-nhat	nhột nhạt,nhớt nhát,nhợt nhạt
but-da	bút dạ
tan-tich	tàn tích
phu-san	phụ san,phụ sản
nac-danh	nặc danh
cau-cau	càu cạu,câu cấu
dao-do	dao độ
chung-minh	chúng mình,chứng minh
mua-mang	mùa màng
gat-ngu	gắt ngủ
ghi-danh	ghi danh
khieu-nai	khiếu nại
som-mai	sớm mai
ret-muot	rét mướt
tay-xoa	tẩy xóa
phat-tang	phát tang
linh-truong	linh trưởng
cu-quoc	cứu quốc
sung-veu	sưng vếu,sưng vều
quay-roi	quấy rối
chuan-thu	chuẩn thứ
co-keo	co kéo
goc-re	gốc rễ
tat-ngom	tắt ngóm
nha-truong	nhà trường
thanh-dam	thanh đạm
thanh-dat	thành đạt
toan-quoc	toàn quốc
doc-gia	độc giả
han-hoi	hàn hơi,hẳn hoi
loi-diem	lợi điểm
ganh-dua	ganh đua
tan-uoc	tân ước
han-hoc	hán học,hằn học
that-nghiep	thất nghiệp
hang-hien	hàng hiên
du-thinh	dự thính
